stage,profile,component,status,valid,success_count,episodes,success_rate_percent,success_tasks,median_latency_s,videos,metrics_records,qualitative_png,strict_verified,suite_verified,fallback_count,nonfinite_count,mask_violation_count,wall_clock_s,output_path,log_path,failure_reason,notes
stage_a,p2_legacy_stage_on_rerun,legacy_baseline,done,true,3,10,30.0,"3;8;9",2.443445,10,128,1300,true,true,0,0,0,1737,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_legacy_stage_on_rerun,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_legacy_stage_on_rerun.log,,P2 stage-on reference
stage_a,p2_sel_ess05,adaptive_ess,done,true,0,10,0.0,,2.459029,10,191,1320,true,true,0,0,0,2389,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_sel_ess05,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_sel_ess05.log,,ESS target 0.5
stage_a,p2_sel_ess07,adaptive_ess,done,true,0,10,0.0,,2.458913,10,150,1320,true,true,0,0,0,2176,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_sel_ess07,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_sel_ess07.log,,qpos execution error on task 9 retained as failure
stage_a,p2_adaptrbf_t08_s10,adaptive_rollout_rbf,done,true,0,10,0.0,,2.365720,10,296,1240,true,true,0,0,0,2854,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_adaptrbf_t08_s10,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_adaptrbf_t08_s10.log,,target 0.8 scale max 10
stage_a,p2_adaptrbf_t10_s20,adaptive_rollout_rbf,done,true,0,10,0.0,,2.421882,10,266,1248,true,true,0,0,0,2448,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_adaptrbf_t10_s20,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_adaptrbf_t10_s20.log,,target 1.0 scale max 20
stage_a,p2_divres_k2_e1,diversity_aware_resampling,done,true,2,10,20.0,"0;4",2.636293,10,192,1320,true,true,0,0,0,2062,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_divres_k2_e1,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_divres_k2_e1.log,,2 k-center anchors plus 1 elite
stage_a,p2_divres_k4_e2,diversity_aware_resampling,done,true,0,10,0.0,,2.551197,10,118,1320,true,true,0,0,0,1887,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_divres_k4_e2,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_divres_k4_e2.log,,4 k-center anchors plus 2 elites
stage_a,p2_memory25,cross_chunk_memory,done,true,0,10,0.0,,2.530193,10,210,1310,true,true,0,0,0,2261,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_memory25,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_memory25.log,,memory fraction 0.25
stage_a,p2_memory50,cross_chunk_memory,done,true,0,10,0.0,,2.558946,10,235,1310,true,true,0,0,0,2635,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_memory50,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_memory50.log,,memory fraction 0.50
stage_a,p2_schedule_balanced,adaptive_schedule,done,true,1,10,10.0,8,2.940020,10,209,1320,true,true,0,0,0,2507,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_schedule_balanced,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_schedule_balanced.log,,adaptive horizon 4 or 8
stage_a,p2_schedule_contact,adaptive_schedule,done,true,1,10,10.0,9,2.943550,10,290,1320,true,true,0,0,0,2949,outputs/ood_eval/p2_adaptive_eds_rbf/stage_a/p2_schedule_contact,outputs/ood_eval/p2_adaptive_eds_rbf/runner_logs/stage_a/p2_schedule_contact.log,,qpos execution error on task 5 retained as failure
stage_b,p2_integrated_full,integration,not_eligible,false,,,,,,,,,,,,,,,,,,No Stage A component satisfied the preregistered eligibility rule,No job launched
stage_b,p2_integrated_minimal,integration,not_eligible,false,,,,,,,,,,,,,,,,,,No pair of eligible Stage A components exists,No job launched
